Frame_Number Person_ID State BB_tl_0 BB_tl_1 BB_br_0 BB_br_1 anomaly
2 1 2 350 96 397 255 0
2 2 2 587 84 637 297 0
2 3 2 297 136 326 249 0
2 4 2 212 95 262 244 0
2 5 2 317 106 359 245 0
2 6 2 540 108 578 226 0
2 7 2 487 111 515 231 0
2 8 2 1 82 629 274 0
2 9 2 263 117 291 222 0
2 10 2 12 110 54 237 0
3 1 2 351 96 397 254 0
3 2 2 587 85 636 295 0
3 3 2 297 136 326 249 0
3 4 2 214 97 263 242 0
3 5 2 317 106 359 245 0
3 6 2 540 108 578 226 0
3 7 2 488 111 516 231 0
3 8 2 -1 81 631 274 0
3 9 2 262 118 289 222 0
3 10 2 12 111 54 236 0
4 1 2 351 96 398 254 0
4 2 2 587 87 635 293 0
4 3 2 297 137 326 249 0
4 4 2 218 105 260 229 0
4 5 2 317 105 359 246 0
4 6 2 541 107 579 226 0
4 7 2 488 111 516 231 0
4 8 2 -2 80 633 275 0
4 9 2 261 118 289 222 0
5 1 2 351 97 397 253 0
5 2 2 587 86 635 292 0
5 3 2 297 137 325 249 0
5 4 2 221 111 258 222 0
5 5 2 317 105 359 247 0
5 6 2 541 107 579 226 0
5 7 2 487 111 515 231 0
5 8 2 -2 80 632 275 0
5 9 2 261 118 288 221 0
6 1 2 350 97 397 252 0
6 2 2 587 85 636 290 0
6 3 2 297 137 325 249 0
6 4 2 216 114 253 219 0
6 5 2 317 106 359 247 0
6 6 2 542 106 580 225 0
6 7 2 487 111 515 231 0
6 8 2 -2 81 629 275 0
6 9 2 260 118 287 220 0
7 1 2 350 97 397 252 0
7 2 2 587 83 636 290 0
7 3 2 297 136 325 249 0
7 4 2 217 117 251 215 0
7 5 2 317 106 359 247 0
7 6 2 542 105 580 224 0
7 7 2 486 110 515 231 0
7 8 2 -1 81 629 275 0
7 10 2 13 109 55 236 0
8 1 2 350 97 396 252 0
8 2 2 586 82 636 290 0
8 3 2 297 136 325 249 0
8 5 2 318 105 359 247 0
8 6 2 542 104 581 225 0
8 7 2 486 110 515 231 0
8 8 2 -2 81 629 275 0
8 9 2 235 101 272 236 0
8 10 2 13 108 56 236 0
9 1 2 349 97 397 253 0
9 2 2 586 82 635 289 0
9 3 2 297 136 325 248 0
9 5 2 318 105 359 247 0
9 6 2 543 104 582 226 0
9 7 2 486 109 515 231 0
9 8 2 0 81 629 275 0
9 9 2 236 98 274 237 0
9 12 2 186 110 233 231 0
10 1 2 350 97 397 253 0
10 2 2 585 82 636 288 0
10 3 2 297 136 325 248 0
10 5 2 318 105 360 247 0
10 6 2 547 106 585 226 0
10 7 2 487 109 515 231 0
10 8 2 1 82 626 274 0
10 9 2 236 98 275 237 0
10 12 2 191 109 239 233 0
11 1 2 349 97 397 253 0
11 2 2 585 82 635 288 0
11 3 2 297 136 326 247 0
11 5 2 317 105 360 247 0
11 6 2 548 107 586 226 0
11 7 2 487 109 515 231 0
11 8 2 0 82 626 274 0
11 9 2 234 97 274 238 0
11 12 2 193 108 241 234 0
12 1 2 349 97 396 253 0
12 2 2 584 84 636 289 0
12 3 2 297 136 326 247 0
12 5 2 317 105 360 247 0
12 6 2 549 108 587 225 0
12 7 2 488 109 516 231 0
12 8 2 4 84 623 273 0
12 9 2 234 96 275 239 0
12 12 2 191 107 239 234 0
13 1 2 349 97 396 253 0
13 2 2 584 86 636 290 0
13 3 2 297 136 325 248 0
13 5 2 317 105 360 247 0
13 6 2 550 109 587 225 0
13 7 2 488 109 516 231 0
13 8 2 5 84 623 273 0
13 9 2 234 96 275 239 0
13 12 2 195 103 247 242 0
14 1 2 350 100 395 250 0
14 2 2 584 87 635 290 0
14 3 2 297 136 325 248 0
14 5 2 317 105 359 247 0
14 6 2 550 109 587 225 0
14 7 2 488 109 515 231 0
14 8 2 3 83 625 273 0
14 9 2 235 96 275 239 0
14 12 2 197 102 249 244 0
15 1 2 350 102 395 249 0
15 2 2 583 87 635 290 0
15 3 2 297 136 325 248 0
15 5 2 317 105 359 248 0
15 6 2 551 110 588 226 0
15 7 2 488 109 515 231 0
15 8 2 2 83 625 273 0
15 9 2 235 97 276 238 0
15 10 2 14 110 56 237 0
15 12 2 198 100 249 245 0
16 1 2 350 102 395 249 0
16 2 2 583 88 635 290 0
16 3 2 297 136 325 248 0
16 5 2 317 105 359 247 0
16 6 2 551 111 588 226 0
16 7 2 488 109 515 231 0
16 8 2 5 84 621 272 0
16 9 2 237 98 277 238 0
16 10 2 15 110 58 237 0
16 12 2 199 101 249 244 0
16 13 2 186 109 218 231 0
17 1 2 350 103 394 249 0
17 2 2 583 87 635 289 0
17 3 2 297 136 325 248 0
17 5 2 318 105 360 247 0
17 6 2 552 111 588 226 0
17 7 2 488 109 515 231 0
17 8 2 9 86 618 271 0
17 9 2 239 98 278 237 0
17 10 2 15 110 59 238 0
17 12 2 200 103 249 242 0
17 13 2 184 111 214 229 0
