Frame_Number Person_ID State BB_tl_0 BB_tl_1 BB_br_0 BB_br_1 anomaly
2 1 2 8 92 72 209 0
3 1 2 10 90 75 210 0
4 1 2 13 89 80 212 0
5 1 2 18 90 84 212 0
6 1 2 20 89 86 212 0
7 1 2 23 89 89 212 0
8 1 2 25 86 93 212 0
9 1 2 26 85 94 213 0
9 3 2 715 0 741 74 0
10 1 2 29 86 94 211 0
10 3 2 714 0 740 74 0
11 1 2 36 87 98 207 0
11 3 2 713 0 739 74 0
12 1 2 41 88 101 205 0
12 3 2 708 0 735 74 0
13 1 2 43 90 103 206 0
13 3 2 707 0 733 74 0
13 4 2 2 135 32 242 0
14 1 2 47 90 106 205 0
14 4 2 4 135 34 242 0
15 1 2 49 91 107 206 0
15 4 2 4 132 36 242 0
16 1 2 50 89 110 208 0
16 4 2 4 128 37 242 0
17 1 2 54 89 114 208 0
17 4 2 4 125 38 243 0
18 1 2 59 86 120 209 0
18 4 2 3 127 38 244 0
19 1 2 62 85 124 210 0
19 4 2 3 128 38 244 0
20 1 2 65 88 125 209 0
20 4 2 2 129 37 243 0
21 1 2 71 94 128 207 0
21 4 2 3 128 38 241 0
22 1 2 73 91 131 207 0
22 3 2 688 0 715 71 0
22 4 2 3 128 39 239 0
23 1 2 74 88 133 207 0
23 3 2 687 0 715 70 0
23 4 2 3 129 40 242 0
24 1 2 75 88 134 207 0
24 3 2 685 0 713 70 0
24 4 2 5 129 42 241 0
25 1 2 79 91 135 205 0
25 4 2 7 129 46 241 0
26 1 2 83 93 137 204 0
26 4 2 14 129 54 239 0
27 1 2 87 94 139 202 0
27 4 2 18 128 62 241 0
28 1 2 89 97 140 201 0
28 4 2 20 128 66 241 0
29 1 2 92 95 143 201 0
29 4 2 22 128 70 241 0
30 1 2 96 90 150 202 0
30 4 2 25 128 73 241 0
31 1 2 103 86 159 202 0
31 4 2 26 128 75 240 0
32 1 2 106 86 165 203 0
32 4 2 27 128 77 240 0
33 1 2 110 87 168 202 0
33 4 2 28 126 79 239 0
34 1 2 111 86 171 202 0
34 4 2 30 123 82 240 0
35 1 2 111 85 172 202 0
35 4 2 31 122 84 239 0
36 1 2 113 85 174 204 0
36 4 2 31 121 84 239 0
37 1 2 116 85 176 204 0
37 3 2 667 0 694 64 0
37 4 2 34 122 85 237 0
38 1 2 118 85 177 203 0
38 3 2 665 0 693 63 0
38 4 2 36 123 86 237 0
39 1 2 121 86 178 201 0
39 4 2 42 123 91 236 0
40 1 2 122 83 175 192 0
40 4 2 45 122 94 236 0
41 1 2 119 81 171 190 0
41 4 2 50 122 100 236 0
42 1 2 118 80 169 190 0
42 4 2 55 121 107 236 0
43 1 2 122 81 170 187 0
43 4 2 59 121 111 235 0
43 5 2 148 88 189 200 0
44 1 2 124 80 170 185 0
44 4 2 62 121 115 235 0
44 5 2 150 91 191 200 0
45 1 2 126 78 171 185 0
45 4 2 64 119 119 235 0
45 5 2 152 90 193 199 0
46 1 2 131 79 174 187 0
46 4 2 65 120 120 236 0
